timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2023-02-19 06:00:00,Nairobi,14.3,0.0,12.6,80,Kenya,53.70429764732246,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.559512871518428,1.1858301818673698,3.1775829867641403,0.258
2023-02-19 07:00:00,Nairobi,16.1,0.0,14.8,74,Kenya,55.58580380644172,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5787580393297302,1.1972116005170406,3.1775829867641403,0.258
2023-02-19 08:00:00,Nairobi,17.9,0.0,16.9,68,Kenya,57.3552383339093,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5956320365557162,1.2112174900550108,3.1775829867641403,0.258
2023-02-19 09:00:00,Nairobi,19.7,0.0,19.1,62,Kenya,58.9929252885493,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6101917092951727,1.2270329297965776,3.1775829867641403,0.258
2023-02-19 10:00:00,Nairobi,21.5,0.0,21.8,52,Kenya,59.48525323646462,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6143698688144208,1.2323235080116854,3.1775829867641403,0.258
2023-02-19 11:00:00,Nairobi,23.9,0.0,24.6,42,Kenya,60.466488164988775,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.622423010891527,1.2436070524628982,3.1775829867641403,0.258
2023-02-19 12:00:00,Nairobi,26.5,0.1,23.4,33,Kenya,61.37159787747761,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6295276685717313,1.2548880046530624,3.1775829867641403,0.258
2023-02-19 13:00:00,Nairobi,27.6,0.1,23.6,30,Kenya,61.80477636828839,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6328179881838127,1.260583332576604,3.1775829867641403,0.258
2023-02-19 14:00:00,Nairobi,28.4,0.0,23.7,27,Kenya,61.70911222553634,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6320974681768858,1.2593090575103332,3.1775829867641403,0.258
2023-02-19 15:00:00,Nairobi,28.9,0.0,23.3,24,Kenya,61.10055399473408,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.627432694508356,1.2514219594368454,3.1775829867641403,0.258
2023-02-19 16:00:00,Nairobi,27.9,0.0,23.2,27,Kenya,61.04766258932924,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6270206335348762,1.250754355215262,3.1775829867641403,0.258
2023-02-19 17:00:00,Nairobi,26.8,0.0,23.5,31,Kenya,61.080089326934456,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6272733862781,1.2511633117217575,3.1775829867641403,0.258
2023-02-19 18:00:00,Nairobi,25.5,0.0,23.9,34,Kenya,60.31154256757425,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.621175623625914,1.241759832992671,3.1775829867641403,0.258
2023-02-19 19:00:00,Nairobi,23.5,0.0,21.0,41,Kenya,59.58791238695028,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6152295085965411,1.2334579123890783,3.1775829867641403,0.258
2023-02-19 20:00:00,Nairobi,22.3,0.0,22.9,47,Kenya,59.43818433792072,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6139743904577593,1.231806989861864,3.1775829867641403,0.258
2023-02-19 21:00:00,Nairobi,20.0,0.0,19.8,54,Kenya,57.61650299508358,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5980229629621194,1.213556737350857,3.1775829867641403,0.258
2023-02-19 22:00:00,Nairobi,19.2,0.0,19.1,58,Kenya,57.27194755354032,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.594864371623363,1.2104864121080026,3.1775829867641403,0.258
2023-02-19 23:00:00,Nairobi,18.3,0.0,18.4,61,Kenya,56.49068855960291,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5875356902290552,1.2039742593417144,3.1775829867641403,0.258
2023-02-20 00:00:00,Nairobi,17.5,0.0,17.6,65,Kenya,56.04899263951607,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.583289898601524,1.2005686579017032,3.1775829867641403,0.258
